id,sensor,mac_address,unidade_medida,valor,latitude,longitude,status,timestamp
1,temperatura,00:1B:44:11:3A:B9,°C,,-19.916681,-43.934493,inativo,2025-06-11T21:31:37.806880Z
2,temperatura,00:1B:44:11:3A:B7,°C,,-23.55052,-46.633308,ativo,2025-06-11T21:31:37.831269Z
3,temperatura,00:1B:44:11:3A:BA,°C,,-22.906847,-43.172896,inativo,2025-06-11T21:31:37.825859Z
4,temperatura,00:1B:44:11:3A:B8,°C,,-15.794229,-47.882166,ativo,2025-06-11T21:31:37.815902Z
5,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.313203Z
6,luminosidade,00:1B:44:11:3A:B7,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.327019Z
7,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.331529Z
8,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.334824Z
9,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.337846Z
10,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.341236Z
11,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.347757Z
12,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.351133Z
13,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.354196Z
14,luminosidade,00:1B:44:11:3A:B8,lux,,-19.916681,-43.934493,ativo,2025-06-11T21:52:59.358891Z
15,luminosidade,00:1B:44:11:3A:B9,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.366928Z
16,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.370627Z
17,luminosidade,00:1B:44:11:3A:B8,lux,,-22.906847,-43.172896,ativo,2025-06-11T21:52:59.374348Z
18,luminosidade,00:1B:44:11:3A:BA,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.379786Z
19,luminosidade,00:1B:44:11:3A:B9,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.383794Z
20,luminosidade,00:1B:44:11:3A:B7,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.388790Z
21,luminosidade,00:1B:44:11:3A:B8,lux,,-23.55052,-46.633308,ativo,2025-06-11T21:52:59.392427Z
22,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.397933Z
23,luminosidade,00:1B:44:11:3A:B9,lux,,-23.55052,-46.633308,inativo,2025-06-11T21:52:59.401848Z
24,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,ativo,2025-06-11T21:52:59.407574Z
25,luminosidade,00:1B:44:11:3A:BA,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.413659Z
26,luminosidade,00:1B:44:11:3A:B7,lux,,-19.916681,-43.934493,inativo,2025-06-11T21:52:59.417343Z
27,luminosidade,00:1B:44:11:3A:B9,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.421263Z
28,luminosidade,00:1B:44:11:3A:B8,lux,,-15.794229,-47.882166,inativo,2025-06-11T21:52:59.425075Z
29,luminosidade,00:1B:44:11:3A:BA,lux,,-22.906847,-43.172896,inativo,2025-06-11T21:52:59.430774Z
